,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,U,Southampton,yes,True
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,U,Southampton,yes,False
9,1,2,female,14.0,1,0,30.0708,C,Second,girl,False,U,Cherbourg,yes,False
10,1,3,female,4.0,1,1,16.7,S,Third,girl,False,G,Southampton,yes,False
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,U,Southampton,yes,True
17,1,2,male,35.0,0,0,13.0,S,Second,man,True,U,Southampton,yes,True
19,1,3,female,20.0,0,0,7.225,C,Third,woman,False,U,Cherbourg,yes,True
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True
22,1,3,female,15.0,0,0,8.0292,Q,Third,girl,False,U,Queenstown,yes,True
23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,U,Southampton,yes,False
28,1,3,female,20.0,0,0,7.8792,Q,Third,woman,False,U,Queenstown,yes,True
31,1,1,female,21.0,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False
32,1,3,female,20.0,0,0,7.75,Q,Third,woman,False,U,Queenstown,yes,True
36,1,3,male,26.0,0,0,7.2292,C,Third,man,True,U,Cherbourg,yes,True
39,1,3,female,14.0,1,0,11.2417,C,Third,girl,False,U,Cherbourg,yes,False
43,1,2,female,3.0,1,2,41.5792,C,Second,girl,False,U,Cherbourg,yes,False
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,U,Queenstown,yes,True
47,1,3,female,20.0,0,0,7.75,Q,Third,woman,False,U,Queenstown,yes,True
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False
53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,U,Southampton,yes,False
55,1,1,male,38.0,0,0,35.5,S,First,man,True,C,Southampton,yes,True
56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,U,Southampton,yes,True
58,1,2,female,5.0,1,2,27.75,S,Second,girl,False,U,Southampton,yes,False
61,1,1,female,38.0,0,0,80.0,U,First,woman,False,B,Unknown,yes,True
65,1,3,male,5.0,1,1,15.2458,C,Third,boy,False,U,Cherbourg,yes,False
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,U,Southampton,yes,False
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,U,Southampton,yes,True
78,1,2,male,0.83,0,2,29.0,S,Second,boy,False,U,Southampton,yes,False
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,U,Southampton,yes,True
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,U,Southampton,yes,True
82,1,3,female,20.0,0,0,7.7875,Q,Third,woman,False,U,Queenstown,yes,True
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,U,Southampton,yes,True
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,U,Southampton,yes,False
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,U,Southampton,yes,False
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,U,Southampton,yes,True
107,1,3,male,26.0,0,0,7.775,S,Third,man,True,U,Southampton,yes,True
109,1,3,female,22.0,1,0,24.15,Q,Third,woman,False,U,Queenstown,yes,False
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True
125,1,3,male,12.0,1,0,11.2417,C,Third,boy,False,U,Cherbourg,yes,False
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,U,Southampton,yes,True
